"scenario_label","method_label","n_counts","mean_term1_correct","mean_term1_incorrect","mean_term2_correct","mean_term2_incorrect","mean_term1_diff","mean_term2_diff"
"S5: Extreme Narrow (20x)","Non-Multinomial",2,0.564349335496194,0.553688943366869,0.09174205253807,0.0208589216097932,0.0106603921293249,0.0708831309282768
"S5: Extreme Narrow (20x)","Non-Multinomial",3,0.457489745984185,0.429219808286948,0.09174205253807,0.0208589216097932,0.0282699376972373,0.0708831309282768
"S5: Extreme Narrow (20x)","Non-Multinomial",4,0.407531249835168,0.390770178450593,0.09174205253807,0.0208589216097932,0.0167610713845744,0.0708831309282768
"S5: Extreme Narrow (20x)","Non-Multinomial",5,0.373823316697811,0.35410660371837,0.09174205253807,0.0208589216097932,0.0197167129794408,0.0708831309282768
"S5: Extreme Narrow (20x)","Non-Multinomial",10,0.293205960592412,0.265476102375877,0.09174205253807,0.0208589216097932,0.027729858216535,0.0708831309282768
"S5: Extreme Narrow (20x)","Non-Multinomial",25,0.233626647083733,0.196969582566238,0.09174205253807,0.0208589216097932,0.0366570645174952,0.0708831309282768
"S5: Extreme Narrow (20x)","Non-Multinomial",50,0.210611983762366,0.168859903007023,0.09174205253807,0.0208589216097932,0.0417520807553433,0.0708831309282768
"S5: Extreme Narrow (20x)","Non-Multinomial",100,0.19830214904386,0.15300770770417,0.09174205253807,0.0208589216097932,0.0452944413396901,0.0708831309282768
"S5: Extreme Narrow (20x)","Non-Multinomial",500,0.187320145503028,0.138315133766533,0.09174205253807,0.0208589216097932,0.049005011736495,0.0708831309282768
"S6: Ultra Dispersed (100x)","Multinomial",1,0.94220154257612,0.942836241622913,0.471211768229523,0.467537213382861,-0.000634699046792812,0.00367455484666133
"S6: Ultra Dispersed (100x)","Multinomial",2,0.718739711944238,0.856660711902039,0.358572784780154,0.453680643157319,-0.137920999957801,-0.0951078583771645
"S6: Ultra Dispersed (100x)","Multinomial",3,0.60302640207733,0.815215917082313,0.301546559957286,0.447830849319753,-0.212189515004982,-0.146284289362467
"S6: Ultra Dispersed (100x)","Multinomial",4,0.53228930348059,0.78958976799231,0.266437336075986,0.444591466225125,-0.257300464511721,-0.178154130149139
"S6: Ultra Dispersed (100x)","Multinomial",5,0.48865459349776,0.776563706840897,0.242383984792698,0.442556461995904,-0.287909113343137,-0.200172477203206
