"scenario_label","method_label","n_counts","mean_es_correct","mean_es_incorrect","mean_es_diff","prop_correct_wins"
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",10,0.205020310382497,0.300817815311411,-0.0957975049289143,0.847
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",25,0.144428962400841,0.285535478650312,-0.141106516249471,0.971
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",50,0.120339968936505,0.280614266228004,-0.160274297291499,0.986
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",100,0.108011351292295,0.278349930764486,-0.170338579472191,0.99
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",500,0.0971354170644228,0.276392669482913,-0.17925725241849,0.999
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",1,0.471275379399997,0.471121259296922,0.000154120103075253,0.517
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",2,0.352974039649852,0.353147117180723,-0.000173077530870965,0.466
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",3,0.297207064485007,0.297211674128263,-4.6096432563054e-06,0.452
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",4,0.262294835516376,0.262361622360775,-6.67868443992691e-05,0.428
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",5,0.238620530590597,0.239032083654011,-0.000411553063413136,0.429
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",10,0.180771326771292,0.181506656602111,-0.000735329830819723,0.458
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",25,0.135104935945727,0.13756835106907,-0.00246341512334337,0.513
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",50,0.11614024242511,0.121210911448348,-0.00507066902323741,0.578
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",100,0.107017299138452,0.116329383784371,-0.00931208464591885,0.671
"S7: Ultra Narrow (α=1000,1000,1000)","Multinomial",500,0.0965971963260095,0.115806594406813,-0.0192093980808031,0.777
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",1,0.73182845273994,0.807317661772148,-0.0754892090322076,1
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",2,0.46407229762168,0.534684684356167,-0.0706123867344876,1
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",3,0.361967322196485,0.411800160865847,-0.0498328386693621,0.798
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",4,0.311212143398562,0.375304433967575,-0.0640922905690126,1
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",5,0.273563486621607,0.334334726530974,-0.0607712399093675,1
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",10,0.196181158361076,0.248488303408753,-0.0523071450476771,0.999
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",25,0.139164929621737,0.181947918340725,-0.0427829887189872,0.932
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",50,0.117014214351645,0.154558781720743,-0.0375445673690978,0.91
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",100,0.107108465006047,0.141805448328117,-0.0346969833220703,0.881
"S7: Ultra Narrow (α=1000,1000,1000)","Non-Multinomial",500,0.0963926642027906,0.127062314112431,-0.03066964990964,0.857
