"scenario_short","alpha_type","n_counts","method","alpha_true","alpha_wrong","discrimination_pct","mean_es_diff","mean_term1_diff","mean_term2_diff","term2_contrib_ratio"
"scenario4_moderate_narrow","symmetric",2,"mn","10_10_10","50_50_50",62.6,-0.0038,0.0048,0.0085,0.64
"scenario4_moderate_narrow","symmetric",3,"mn","10_10_10","50_50_50",53.06,-0.002,0.0076,0.0096,0.56
"scenario4_moderate_narrow","symmetric",4,"mn","10_10_10","50_50_50",57.68,-0.0025,0.0097,0.0123,0.56
"scenario4_moderate_narrow","symmetric",5,"mn","10_10_10","50_50_50",54.95,-0.0021,0.0114,0.0135,0.54
"scenario4_moderate_narrow","symmetric",10,"mn","10_10_10","50_50_50",53.85,-0.0021,0.0169,0.019,0.53
"scenario4_moderate_narrow","symmetric",25,"mn","10_10_10","50_50_50",53.25,-0.0022,0.0247,0.0269,0.52
"scenario4_moderate_narrow","symmetric",50,"mn","10_10_10","50_50_50",55.88,-0.0033,0.0302,0.0335,0.53
"scenario4_moderate_narrow","symmetric",100,"mn","10_10_10","50_50_50",57.61,-0.0042,0.0344,0.0385,0.53
"scenario4_moderate_narrow","symmetric",500,"mn","10_10_10","50_50_50",64.32,-0.0074,0.0393,0.0466,0.54
"scenario4_moderate_narrow","symmetric",1,"non-mn","10_10_10","50_50_50",99.99,-0.0451,0.0049,0.0501,0.91
"scenario4_moderate_narrow","symmetric",2,"non-mn","10_10_10","50_50_50",99.98,-0.0411,0.009,0.0501,0.85
"scenario4_moderate_narrow","symmetric",3,"non-mn","10_10_10","50_50_50",80.04,-0.029,0.021,0.0501,0.7
"scenario4_moderate_narrow","symmetric",4,"non-mn","10_10_10","50_50_50",99.78,-0.0359,0.0141,0.0501,0.78
"scenario4_moderate_narrow","symmetric",5,"non-mn","10_10_10","50_50_50",99.26,-0.0333,0.0167,0.0501,0.75
"scenario4_moderate_narrow","symmetric",10,"non-mn","10_10_10","50_50_50",89.62,-0.0268,0.0232,0.0501,0.68
"scenario4_moderate_narrow","symmetric",25,"non-mn","10_10_10","50_50_50",83.47,-0.0197,0.0304,0.0501,0.62
"scenario4_moderate_narrow","symmetric",50,"non-mn","10_10_10","50_50_50",77.68,-0.0155,0.0345,0.0501,0.59
"scenario4_moderate_narrow","symmetric",100,"non-mn","10_10_10","50_50_50",73.82,-0.0129,0.0372,0.0501,0.57
"scenario4_moderate_narrow","symmetric",500,"non-mn","10_10_10","50_50_50",69.32,-0.0101,0.04,0.0501,0.56
"scenario5_extreme_narrow","symmetric",1,"mn","10_10_10","200_200_200",51.07,-2e-04,-2e-04,0,0.08
"scenario5_extreme_narrow","symmetric",2,"mn","10_10_10","200_200_200",53.18,-0.0015,0.0057,0.0072,0.56
"scenario5_extreme_narrow","symmetric",3,"mn","10_10_10","200_200_200",62.29,-0.0042,0.0091,0.0133,0.59
"scenario5_extreme_narrow","symmetric",4,"mn","10_10_10","200_200_200",57.49,-0.0025,0.0117,0.0142,0.55
"scenario5_extreme_narrow","symmetric",5,"mn","10_10_10","200_200_200",59.72,-0.0032,0.0136,0.0168,0.55
"scenario5_extreme_narrow","symmetric",10,"mn","10_10_10","200_200_200",55.97,-0.0027,0.0202,0.023,0.53
"scenario5_extreme_narrow","symmetric",25,"mn","10_10_10","200_200_200",53.72,-0.0026,0.0297,0.0323,0.52
"scenario5_extreme_narrow","symmetric",50,"mn","10_10_10","200_200_200",59.22,-0.0048,0.0364,0.0412,0.53
"scenario5_extreme_narrow","symmetric",100,"mn","10_10_10","200_200_200",66.82,-0.0088,0.0417,0.0504,0.55
"scenario5_extreme_narrow","symmetric",500,"mn","10_10_10","200_200_200",75.61,-0.0159,0.048,0.064,0.57
"scenario5_extreme_narrow","symmetric",1,"non-mn","10_10_10","200_200_200",100,-0.0649,0.006,0.0709,0.92
"scenario5_extreme_narrow","symmetric",2,"non-mn","10_10_10","200_200_200",100,-0.0602,0.0107,0.0709,0.87
"scenario5_extreme_narrow","symmetric",3,"non-mn","10_10_10","200_200_200",79.91,-0.0426,0.0283,0.0709,0.71
"scenario5_extreme_narrow","symmetric",4,"non-mn","10_10_10","200_200_200",100,-0.0541,0.0168,0.0709,0.81
"scenario5_extreme_narrow","symmetric",5,"non-mn","10_10_10","200_200_200",100,-0.0512,0.0197,0.0709,0.78
"scenario5_extreme_narrow","symmetric",10,"non-mn","10_10_10","200_200_200",96.78,-0.0432,0.0277,0.0709,0.72
"scenario5_extreme_narrow","symmetric",25,"non-mn","10_10_10","200_200_200",90.88,-0.0342,0.0367,0.0709,0.66
"scenario5_extreme_narrow","symmetric",50,"non-mn","10_10_10","200_200_200",87.38,-0.0291,0.0418,0.0709,0.63
"scenario5_extreme_narrow","symmetric",100,"non-mn","10_10_10","200_200_200",84.15,-0.0256,0.0453,0.0709,0.61
"scenario5_extreme_narrow","symmetric",500,"non-mn","10_10_10","200_200_200",81.32,-0.0219,0.049,0.0709,0.59
"scenario6_ultra_dispersed","symmetric",1,"mn","10_10_10","0.1_0.1_0.1",52.9,-0.0043,-6e-04,0.0037,0.85
"scenario6_ultra_dispersed","symmetric",2,"mn","10_10_10","0.1_0.1_0.1",68.2,-0.0428,-0.1379,-0.0951,0.41
"scenario6_ultra_dispersed","symmetric",3,"mn","10_10_10","0.1_0.1_0.1",87.6,-0.0659,-0.2122,-0.1463,0.41
"scenario6_ultra_dispersed","symmetric",4,"mn","10_10_10","0.1_0.1_0.1",85.9,-0.0791,-0.2573,-0.1782,0.41
"scenario6_ultra_dispersed","symmetric",5,"mn","10_10_10","0.1_0.1_0.1",87.2,-0.0877,-0.2879,-0.2002,0.41
"scenario6_ultra_dispersed","symmetric",10,"mn","10_10_10","0.1_0.1_0.1",95.3,-0.1186,-0.3729,-0.2543,0.41
"scenario6_ultra_dispersed","symmetric",25,"mn","10_10_10","0.1_0.1_0.1",98.4,-0.1482,-0.4469,-0.2987,0.4
"scenario6_ultra_dispersed","symmetric",50,"mn","10_10_10","0.1_0.1_0.1",99,-0.1629,-0.4807,-0.3178,0.4
"scenario6_ultra_dispersed","symmetric",100,"mn","10_10_10","0.1_0.1_0.1",99.5,-0.1715,-0.5002,-0.3287,0.4
"scenario6_ultra_dispersed","symmetric",500,"mn","10_10_10","0.1_0.1_0.1",99.9,-0.1794,-0.5179,-0.3386,0.4
"scenario6_ultra_dispersed","symmetric",1,"non-mn","10_10_10","0.1_0.1_0.1",0,0.2425,-0.0988,-0.3413,0.78
"scenario6_ultra_dispersed","symmetric",2,"non-mn","10_10_10","0.1_0.1_0.1",40.3,0.0805,-0.2609,-0.3413,0.57
"scenario6_ultra_dispersed","symmetric",3,"non-mn","10_10_10","0.1_0.1_0.1",30.9,0.0085,-0.3328,-0.3413,0.51
"scenario6_ultra_dispersed","symmetric",4,"non-mn","10_10_10","0.1_0.1_0.1",56.7,-0.0208,-0.362,-0.3413,0.49
"scenario6_ultra_dispersed","symmetric",5,"non-mn","10_10_10","0.1_0.1_0.1",64.4,-0.0384,-0.3797,-0.3413,0.47
"scenario6_ultra_dispersed","symmetric",10,"non-mn","10_10_10","0.1_0.1_0.1",84.7,-0.0958,-0.4371,-0.3413,0.44
"scenario6_ultra_dispersed","symmetric",25,"non-mn","10_10_10","0.1_0.1_0.1",97.1,-0.1411,-0.4824,-0.3413,0.41
"scenario6_ultra_dispersed","symmetric",50,"non-mn","10_10_10","0.1_0.1_0.1",98.6,-0.1603,-0.5016,-0.3413,0.4
"scenario6_ultra_dispersed","symmetric",100,"non-mn","10_10_10","0.1_0.1_0.1",99,-0.1703,-0.5116,-0.3413,0.4
"scenario6_ultra_dispersed","symmetric",500,"non-mn","10_10_10","0.1_0.1_0.1",99.9,-0.1793,-0.5205,-0.3413,0.4
"scenario7_ultra_narrow","symmetric",1,"mn","10_10_10","1000_1000_1000",51.7,2e-04,0,-1e-04,0.97
"scenario7_ultra_narrow","symmetric",2,"mn","10_10_10","1000_1000_1000",46.6,-2e-04,0.0058,0.006,0.51
